library,term,set_size,evidence
"Reactome_Pathways_2024","Activation of Gene Expression by SREBF (SREBP)",43,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Cholesterol Biosynthesis",27,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Developmental Biology",1385,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination",29,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism",2181,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism of Lipids",758,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Metabolism of Steroids",155,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Nervous System Development",567,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","PPARA Activates Gene Expression",117,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Regulation of Cholesterol Biosynthesis by SREBP (SREBF)",56,"Annotated gene membership; not enrichment or pathway activity"
"Reactome_Pathways_2024","Regulation of Lipid Metabolism by PPARalpha",119,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","AMPK signaling pathway",120,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Bile secretion",90,"Annotated gene membership; not enrichment or pathway activity"
"KEGG_2021_Human","Terpenoid backbone biosynthesis",22,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholesterol Metab With Bloch And Kandutsch Russell Pathways WP4718",47,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982",69,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Effect Of Omega 3 PUFA On Huntington 39 S Disease Pathways WP5470",120,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2011",16,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Mevalonate Arm Of Cholesterol Biosynthesis Pathway WP4190",13,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholesterol Biosynthesis Pathway In Hepatocytes WP5329",43,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Metabolic Reprogramming In Pancreatic Cancer WP5220",42,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Statin Inhibition Of Cholesterol Production WP430",29,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","AMP Activated Protein Kinase Signaling WP1403",67,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Enterocyte Cholesterol Metabolism WP5333",36,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholesterol Biosynthesis Pathway WP197",15,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholesterol Synthesis Disorders WP5193",18,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Target Of Rapamycin Signaling WP1471",36,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholesterol Metabolism WP5304",72,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Mevalonate Pathway WP3963",7,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Ferroptosis WP4313",65,"Annotated gene membership; not enrichment or pathway activity"
"WikiPathways_2024_Human","Cholestasis WP5238",19,"Annotated gene membership; not enrichment or pathway activity"
